"No.","Time","Source","Destination","Protocol","Length","SAC, System Area Code","SIC, System Identification Code","Service Identification","LAT, Latitude, [\302\260]","LON, Longitude, [\302\260]","Target Address","Time of Message Reception for Position, [s]","Geometric Height, [ft]","NUCRNACV, Navigation Uncertainty Category for Velocity NUCr or the Navigation Accuracy Category for Velocity NACv","NUCPNIC, Navigation Uncertainty Category for Position NUCp or Navigation Integrity Category NIC","NICBARO, Navigation Integrity Category for Barometric Altitude","SIL, Surveillance (version 1) or Source (version 2) Integrity Level","NACP, Navigation Accuracy Category for Position","SILS, SIL-Supplement","SDA, Horizontal Position System Design Assurance Level (as Defined in Version 2)","GVA, Geometric Altitude Accuracy","PIC, Position Integrity Category","SRC, Source of the PIC","VN, Version Number","LTT, Link Technology Type","MODE3A, Mode-3/A Reply in Octal Representation","Flight Level, [FL]","BVR, Barometric Vertical Rate, [ft/min]","Target Identification","GS, Ground Speed Referenced to WGS-84, [NM/s]","TA, Track Angle Clockwise Reference to True North, [\302\260]","Emitter Category","ALT, Altitude, [ft]","Message Amplitude, [dBm]","Info"
"1","/","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","6.53961181640625","99.61468935012817","0x76b44b","19137.3359375","29975","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3190","282","1281.25","SIA727  ","0.13580322265625","149.91943359375","75000 lbs < medium a/c < 300000 lbs","33000","-72",""
"2","2025-10-15 05:28:13.136901Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","8.960981369018555","100.74917793273926","0x76b448","19137.421875","39300","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3853","370","0","SIA761  ","0.1265869140625","153.83056640625","75000 lbs < medium a/c < 300000 lbs","37000","-79",""
"3","2025-10-15 05:28:13.230937Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","4.827225208282471","103.02088022232056","0x88510e","19137.515625","40375","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","","380","0","THA404  ","0.13421630859375","332.1112060546875","300000 lbs <= heavy aircraft","38025","-88",""
"4","2025-10-15 05:28:13.236048Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","7.298076152801514","100.60172080993652","0x885972","19137.515625","8175","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","2372","78.5","-2112.5","TVJ324  ","0.09564208984375","182.3291015625","75000 lbs < medium a/c < 300000 lbs","3000","-63",""
"5","2025-10-15 05:28:13.426574Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","5.204064846038818","102.88232803344727","0x780457","19137.7109375","36200","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1198","340","0","CES5082 ","0.128173828125","329.3756103515625","75000 lbs < medium a/c < 300000 lbs","34025","-81",""
"6","2025-10-15 05:28:13.672246Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","7.692296504974365","101.72198295593262","0x885306","19137.9609375","39425","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","370","","THA413  ","0.1292724609375","166.201171875","No ADS-B Emitter Category Information","","-71",""
"7","2025-10-15 05:28:13.856348Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","6.585273742675781","102.18838691711426","0x50038e","19138.1328125","45400","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1319","430","","T7NEX   ","0.13311767578125","343.7567138671875","75000 lbs < medium a/c < 300000 lbs","43000","-75",""
"8","2025-10-15 05:28:13.943854Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","4.668588638305664","99.91629838943481","0x8a0817","19138.2265625","14200","1","8","1","3","8","Measured per flight-hour","2","1","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3556","135.5","-962.5","LNI138  ","0.09228515625","39.869384765625","75000 lbs < medium a/c < 300000 lbs","7000","-84",""
"9","2025-10-15 05:28:14.098587Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","9.118459224700928","99.37468528747559","0x789292","19138.3828125","29975","2","8","1","3","9","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3176","281.75","381.25","CPA770  ","0.12347412109375","2.83447265625","75000 lbs < medium a/c < 300000 lbs","35000","-80",""
"10","2025-10-15 05:28:14.199129Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","9.438371658325195","101.41123294830322","0x8830e9","19138.484375","37300","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","350.25","","TLM268  ","0.1285400390625","173.7982177734375","No ADS-B Emitter Category Information","","-83",""
